,DKK2,EMX2,GAD1,TNC,WIF1,ATOH1,EYA1,HHIP,SFRP1,GABRA5,IMPG2,MAB21L2,NPR3,NRL,EOMES,KCNA1,KHDRBS2,RBM24,UNC5D
NMB52,0.053135602,0.276807439,0.344948521,0.434113881,0.053135602,0,0.288327843,0.339659633,0.423877569,0.36571338,0.291812919,0.149170493,0.123377047,0.405776644,0.799655634,0.726586435,0.534939183,0.581124838,0.677170903
NMB593,0.221571474,0.202306095,0.356031896,0.388574436,0.137353538,0.106271203,0.278851786,0.339659633,0.392337571,0.44049514,0.149170493,0.217189798,0.084217936,0.340566844,0.795371508,0.781064865,0.472146824,0.695980559,0.706264937
NMB733,0.168435872,0.207594983,0.290090184,0.437243233,0.249760693,0.053135602,0.176512648,0.268036917,0.546459586,0.353025297,0.298340986,0,0.123377047,0.558127101,0.712417351,0.65103704,0.500423261,0.542355848,0.604678887
NMB735,0.084217936,0.168435872,0.313866186,0.313866186,0.053135602,0.053135602,0.313866186,0.373137739,0.502414502,0.406160898,0.468834928,0.212542407,0.202306095,0.440003738,0.80975533,0.69769222,0.559279882,0.586194388,0.730657651
NMB736,0.183818981,0.236954582,0.315133297,0.490378834,0,0.137353538,0.233388429,0.268036917,0.550237812,0.334955183,0.295146421,0.278851786,0.19048914,0.393702446,0.847163777,0.700148731,0.666301503,0.585088186,0.711036337
NMB767,0.183818981,0.137353538,0.376030855,0.398084122,0.221571474,0,0.341463445,0.309934121,0.387604063,0.368268899,0.217189798,0.084217936,0.084217936,0.363069723,0.812421388,0.697125902,0.664596031,0.553838536,0.653647403
NMB771,0.106271203,0.22964825,0.428309929,0.341463445,0.159406805,0,0.212542407,0.379906116,0.507074738,0.176512648,0.149170493,0.106271203,0,0.317606366,0.684455902,0.626313925,0.554172803,0.558337991,0.657728146
NMB77,0.106271203,0.202306095,0.403825942,0.392795235,0.290090184,0,0.301407734,0.30578941,0.50697191,0.432771317,0.236954582,0.325683141,0.053135602,0.383078643,0.859035281,0.607085722,0.69302185,0.598605234,0.678642702
NMB782,0.168435872,0.159406805,0.302896295,0.513950141,0.084217936,0.123377047,0.240362187,0.183818981,0.52759712,0.445702346,0.290090184,0.375460901,0.22964825,0.376596603,0.338741556,0.627176719,0.61776329,0.545344985,0.639967979
NMB785,0.084217936,0.106271203,0.343225786,0.415868363,0.106271203,0,0.19048914,0.290090184,0.421718033,0.334955183,0.149170493,0.149170493,0.149170493,0.327842678,0.802902456,0.755836934,0.640456539,0.570305228,0.577069163
NMB787,0.106271203,0.243624741,0.461189398,0.391413963,0.278851786,0,0.286524031,0.3617129,0.510392934,0.252653809,0.274707076,0.207594983,0.149170493,0.30578941,0.81932088,0.675109946,0.626487262,0.593686866,0.684119881
NMB801,0,0.053135602,0.394152057,0.349895945,0,0,0.233388429,0.196625091,0.495565443,0.334955183,0.484815676,0.280843027,0.22964825,0.553726789,0.787896684,0.689250772,0.633671511,0.581514958,0.710741261
NMB80,0.221571474,0.243624741,0.379364357,0.370741967,0.106271203,0.176512648,0.34663339,0.422341276,0.446612249,0.263244202,0.246754093,0.286524031,0.084217936,0.347462138,0.821745065,0.736181594,0.64379196,0.61014591,0.715973884
NMB859,0.335919453,0.290090184,0.336871745,0.483708676,0.408053796,0.084217936,0.299889695,0.176512648,0.373725163,0.558285323,0.587429085,0.212542407,0.252653809,0.522055095,0.854364312,0.561383056,0.68104876,0.533714926,0.696832522
NMB867,0.137353538,0.196625091,0.236954582,0.436472789,0.202306095,0,0.207594983,0.276807439,0.451006488,0.40059774,0.576821344,0,0.282783852,0.578418027,0.795562528,0.558653242,0.613576802,0.536073834,0.670375707
NMB889,0.176512648,0.176512648,0.22964825,0.46849573,0.233388429,0,0.106271203,0.19048914,0.454756835,0.36571338,0.240362187,0.149170493,0.168435872,0.291812919,0.811576515,0.658501757,0.639604064,0.549473279,0.677193246
NMB898,0.053135602,0.168435872,0.369515406,0.436730465,0.053135602,0,0.233388429,0.3617129,0.520259332,0.217189798,0.233388429,0.106271203,0.290090184,0.313866186,0.832345736,0.687844509,0.606638407,0.592178122,0.729728921
NMB901,0.137353538,0.123377047,0.526408593,0.38512299,0.356031896,0,0.276807439,0.407302237,0.53712253,0.276807439,0.339659633,0.249760693,0.149170493,0.34234968,0.788563215,0.71008225,0.590292842,0.53543766,0.703517808
NMB907,0.168435872,0.202306095,0.296760343,0.433847243,0.149170493,0,0.246754093,0.359631547,0.418196565,0.526328699,0.331987388,0.159406805,0.168435872,0.495206386,0.860797669,0.601985758,0.568065864,0.57531737,0.700371948
NMB908,0.159406805,0.106271203,0.356765476,0.436214245,0.137353538,0.053135602,0.299889695,0.428022279,0.521801118,0.280843027,0.331987388,0.137353538,0.260730584,0.298340986,0.826740988,0.74972567,0.598199385,0.597032375,0.701258373
